time (s),motor position (nm),sensor position (nm)
7.362526837,41529522,5355
7.36757963,41580969,4627
7.372450796,41630712,3779
7.377466562,41680070,3918
7.382412077,41729814,3676
7.387632497,41780254,4215
7.3924726530000004,41830279,3373
7.397692444,41879652,3201
7.402507161,41929770,3028
7.407467242,41979320,2401
7.4125979730000005,42030011,3241
7.417510087,42078829,2651
7.422587075,42129952,3204
7.427408796,42178358,4915
7.432694776,42226055,7772
7.43768354,42249843,5362
7.442385876,42086914,5530
7.4476319029999996,42260561,4395
7.452712731,42385685,3513
7.457505674,42461918,1660
7.462721616,42521325,2459
7.467584913,42573631,2343
7.472602315,42625282,6155
7.477447561,42675284,5191
7.482394708,42726297,4526
7.487504006,42776766,3739
7.492599026,42829514,1793
7.497549785,42878137,2256
7.502461978,42927841,4156
7.507686477,42979025,2054
7.512474732,43029217,2328
7.517414396,43079485,5552
7.5224496720000005,43129193,4659
7.527413867,43180050,4518
7.532413701,43230960,4229
7.537763401,43281745,6271
7.542649939,43330019,4153
7.547450981,43379817,4299
7.552666996,43431096,3800
7.557641126,43481136,5073
7.56244522,43530910,5494
7.567590407,43580154,4475
7.572591933,43629805,3963
7.577658455,43680701,2092
7.582698719,43730814,1481
7.587587352,43780184,1367
7.592374686,43829328,2704
7.597437391,43880129,4130
7.602409096,43929947,4957
7.607519053,43980410,4315
7.612641355,44029696,4662
7.617387532,44078002,4371
7.622633174,44126461,4159
7.6274695900000005,44148082,3837
7.63248694,43987068,3720
7.637648913,44169042,2841
7.642384069,44288025,2760
7.647603916,44363701,3548
7.652416482,44421224,4476
7.657489961,44473655,5112
7.662670379,44526011,5441
7.66741688,44577026,4504
7.672679852,44626904,4012
7.67777774,44678207,3396
7.682570415,44728821,3014
7.687497635,44778762,2782
7.692446058,44828500,2668
7.697648268,44879663,3063
7.702388679,44928880,2962
7.707566564,44980799,3182
7.712819195,45029838,3527
7.717505258,45080462,3574
7.722475762,45131585,3036
7.727571463,45180908,4167
7.732639889,45230688,4186
7.737464061,45280692,5023
7.742396686,45330675,5221
7.747635566,45380969,5179
7.752657029,45431312,5083
7.757517487,45480280,4580
7.762526372,45531395,4464
7.767672141,45580646,3946
7.772454492,45630895,3137
7.777667308,45680645,5484
7.782469179,45730019,4114
7.787500358,45780444,4199
7.7924526929999995,45830275,3708
7.797391633,45880025,4355
7.80263795,45929557,2911
7.807524467,45979227,3732
7.812674596,46027123,3440
7.817503103,46061973,3637
7.822686744,45949628,3339
7.827440303,46023719,5506
7.832552705,46172226,4810
7.837665193,46258540,3750
7.8426383600000005,46320037,5529
7.847491826,46372845,6224
7.8526595,46425627,5851
7.857557267,46475794,6106
7.8625776389999995,46526116,5953
7.86764615,46576995,4749
7.872570393,46628194,4338
7.877766942,46679044,3920
7.882447794,46728619,4570
7.887506699,46779058,2989
7.892450931,46828927,3510
7.897421637,46880153,4999
7.90258802,46930239,4092
7.9073759169999995,46979074,2942
7.912476431,47030142,4760
7.917481186,47080245,4204
7.9224835989999995,47130639,4185
7.927510954,47179470,4323
7.932607087,47230800,4351
7.93739167,47280036,4979
7.942430042,47330413,5141
7.947544381,47380434,5465
7.952472382,47430492,5085
7.957552106,47479189,4898
7.9624215,47530194,4366
7.967619851,47580062,4121
7.972697471,47629321,4120
7.977512591,47679764,4578
7.982417602,47729198,4375
7.987452813,47778921,3788
7.992578166,47828995,3036
7.997578047,47878589,2244
8.002419516,47926600,3501
8.007407633,47959367,2264
8.012615015,47822427,3822
8.017572316,47932403,4533
8.02248198,48073881,4437
8.02766041,48158595,3324
8.032559616,48219718,5142
8.037579071,48273509,5654
8.042523866,48325247,5091
8.047431534,48375392,4586
8.052665436,48426185,4722
8.0575097,48477142,5007
8.062563656,48527433,4291
8.067690292,48578122,3660
8.073148822,48628649,3230
8.077395984,48678736,4720
8.08249886,48728763,3852
8.087415317,48779394,2687
8.092665229,48829828,2972
8.097526569,48879246,3766
8.10244005,48929700,3946
8.107570136,48980262,3830
8.112592083,49030495,3757
8.117678519,49080520,4507
8.122730057,49131635,5426
8.127438503,49179795,4928
8.132469308,49230850,4322
8.137516118,49280371,5489
8.142516161,49330717,5413
8.147612855,49381071,5096
8.152609361,49429530,5545
8.157503411,49480208,5640
8.162599887,49529321,4512
8.16743742,49580121,3770
8.172722138,49629738,4197
8.177376782,49679116,4344
8.182578516,49728889,3892
