time (s),force (N)
7.887034215,-1.55639648438
7.892121283,-1.5576171875
7.896976687,-1.55601501465
7.901881382,-1.55624389648
7.906960213,-1.54991149902
7.911963822,-1.55685424805
7.91693478,-1.55471801758
7.921890365,-1.60102844238
7.927048508,-1.55708312988
7.932249683,-1.55693054199
7.9369190530000004,-1.55639648438
7.94196274,-1.55693054199
7.94704057,-1.50909423828
7.951926897,-1.55532836914
7.95692387,-1.55731201172
7.961888416,-1.55578613281
7.966989406,-1.55540466309
7.972026152,-1.56440734863
7.976911135,-1.5576171875
7.981934298,-1.55754089355
7.986922032,-1.54586791992
7.992326694,-1.55685424805
7.996905089,-1.54388427734
8.001870846,-1.55654907227
8.006880284,-1.5584564209
